recordID,subjectLocation,subjectLocationRefined
9513,River Road Region (La.),River Road Region (La.)
9513,River Road Region (La.),River Road Region (La.)
9514,Adams County (Ohio),Adams County (Ohio)
9514,Adams County (Ohio),Adams County (Ohio)
9514,Adams County (Ohio),Adams County (Ohio)
9515,Missouri,Missouri
9516,Guatemala,Guatemala
9516,Jacaltenango (Guatemala),Jacaltenango (Guatemala)
9517,Hocking River Valley (Ohio),Hocking River Valley (Ohio)
9517,Hocking River Valley (Ohio),Hocking River Valley (Ohio)
9517,Hocking River Valley (Ohio),Hocking River Valley (Ohio)
9518,Iowa,Iowa
9519,"California, Southern","California, Southern"
9520,Havana (Cuba),Havana (Cuba)
9521,Switzerland,Switzerland
9522,Minnesota,Minnesota
9523,Georgia,Georgia
9523,Georgia,Georgia
9523,Georgia,Georgia
9524,United States,United States
9525,England,England
9525,Cornwall (England : County),Cornwall (England : County)
9526,Vietnam,Vietnam
9526,Cambodia,Cambodia
9527,Warsaw (Poland),Warsaw (Poland)
9528,Florida,Florida
9529,Washington (State),Washington (State)
9530,Pompeii (Extinct city),Pompeii (Extinct city)
9531,Grand Canyon (Ariz.),Grand Canyon (Ariz.)
9531,Grand Canyon (Ariz.),Grand Canyon (Ariz.)
9532,Canada,Canada
9532,France,France
9533,Utah,Utah
9533,Utah,Utah
9533,Utah,Utah
9534,Greenville (N.C.),Greenville (N.C.)
9535,Cuba,Cuba
9536,United States,United States
9537,Illyria,Illyria
9538,Great Britain,Great Britain
9538,Great Britain,Great Britain
9539,Palestine,Palestine
9539,Palestine,Palestine
9539,Rome,Rome
9540,England,England
9541,South Carolina,South Carolina
9542,Chagrin Falls (Ohio),Chagrin Falls (Ohio)
9543,Virginia,Virginia
9544,Maine,Maine
9544,Massachusetts,Massachusetts
9545,America,America
9545,America,America
9546,Germany,Germany
9546,Germany,Germany
9547,Oklahoma,Oklahoma
9548,Mississippi River,Mississippi River
9549,West (U.S.),West (U.S.)
9549,Pacific Area,Pacific Area
9550,Denver (Colo.),Denver (Colo.)
9551,Greenwich (Conn.),Greenwich (Conn.)
9552,United States,United States
9553,Yorkshire (England),Yorkshire (England)
9554,West (U.S.),West (U.S.)
9554,West (U.S.),West (U.S.)
9554,California,California
9554,California,California
9554,San Jose (Calif.),San Jose (Calif.)
9555,Paducah (Ky.),Paducah (Ky.)
9555,Paducah (Ky.),Paducah (Ky.)
9556,Lowndes County (Ga.),Lowndes County (Ga.)
9556,Lowndes County (Ga.),Lowndes County (Ga.)
9556,Lowndes County (Ga.),Lowndes County (Ga.)
9557,Boise (Idaho),Boise (Idaho)
9557,Boise (Idaho),Boise (Idaho)
9558,Long Island (N.Y.),Long Island (N.Y.)
9558,Long Island (N.Y.),Long Island (N.Y.)
9558,Long Island (N.Y.),Long Island (N.Y.)
9559,New Hampshire,New Hampshire
9559,New Hampshire,New Hampshire
9559,New Hampshire,New Hampshire
9560,Great Britain,Great Britain
9561,Former Yugoslav republics,Former Yugoslav republics
9561,Former Yugoslav republics,Former Yugoslav republics
9562,United States,United States
9562,United States,United States
9562,Great Britain,Great Britain
9563,European Union countries,European Union countries
9563,"Africa, North","Africa, North"
9563,"Africa, North","Africa, North"
9564,Venice (Italy),Venice (Italy)
9564,Venice (Italy),Venice (Italy)
9565,France,France
9566,France,France
9566,France,France
9567,Great Britain,Great Britain
9567,Great Britain,Great Britain
9568,Egypt,Egypt
9569,Europe,Europe
9569,Europe,Europe
9570,Hamilton County (Ohio),Hamilton County (Ohio)
9571,Hamilton County (Ohio),Hamilton County (Ohio)
9572,Montana,Montana
9572,Montana,Montana
9573,Virginia,Virginia
9574,Lancaster (Ohio),Lancaster (Ohio)
9575,United States,United States
9576,Alaska,Alaska
9577,Brunei,Brunei
9578,Walhalla Region (S.C.),Walhalla Region (S.C.)
9578,Birmingham (Ala.),Birmingham (Ala.)
9579,England,England
9580,California,California
9580,California,California
9580,California,California
9581,United States,United States
9582,Holliston (Mass. : Town),Holliston (Mass. : Town)
9583,High Point (N.C.),High Point (N.C.)
9584,Jerusalem,Jerusalem
9584,Jerusalem,Jerusalem
9584,Jerusalem,Jerusalem
9585,Bohemia (Czech Republic),Bohemia (Czech Republic)
9586,Alcatraz Island (Calif.),Alcatraz Island (Calif.)
9587,Great Britain,Great Britain
9587,Great Britain,Great Britain
9588,Algeria,Algeria
9588,France,France
9588,Algeria,Algeria
9588,France,France
9588,France,France
9589,El Paso County (Colo.),El Paso County (Colo.)
9590,Hampton Roads (Va. : Roadstead),Hampton Roads (Va. : Roadstead)
9590,Norfolk (Va.),Norfolk (Va.)
9591,Pennsylvania,Pennsylvania
9592,Rocky Mountains Region,Rocky Mountains Region
9593,"Little Italy (Baltimore, Md.)","Little Italy (Baltimore, Md.)"
9593,Baltimore (Md.),Baltimore (Md.)
9594,Alaska,Alaska
9595,Paris (France),Paris (France)
9595,Paris (France),Paris (France)
9596,Sumatra (Indonesia),Sumatra (Indonesia)
9597,Hawaii,Hawaii
9597,Hawaii,Hawaii
9598,Italy,Italy
9598,Assisi (Italy),Assisi (Italy)
9599,"Edmond (Okla,)","Edmond (Okla,)"
9599,Edmond (Okla.),"Edmond (Okla,)"
9600,United States,United States
9600,United States,United States
9601,New York (N.Y.),New York (N.Y.)
9602,Mexico,Mexico
9603,Oklahoma,Oklahoma
9604,New York (N.Y.),New York (N.Y.)
9605,Haiti,Haiti
9606,Chechni?a? (Russia),Chechni?a? (Russia)
9607,Milky Way.,Milky Way.
9608,New Mexico,New Mexico
9609,Paris (France),Paris (France)
9609,Paris (France),Paris (France)
9610,West (U.S.),West (U.S.)
9610,United States,United States
9611,Dubuque (Iowa),Dubuque (Iowa)
9611,Dubuque Region (Iowa),Dubuque Region (Iowa)
9612,Europe,Europe
9613,"Persian Gulf War, 1991","Persian Gulf War, 1991"
9614,Turner (Me.),Turner (Me.)
9614,Turner (Me.),Turner (Me.)
9614,Turner (Me.),Turner (Me.)
9615,Great Britain,Great Britain
9616,Spain,Spain
9616,Spain,Spain
9617,Ireland,Ireland
9618,Russia,Russia
9618,Soviet Union,Soviet Union
9619,Miami (Fla.),Miami (Fla.)
9620,Idaho,Idaho
9621,Appalachian Trail,Appalachian Trail
9622,Great Britain,Great Britain
9623,Miami (Fla.),Miami (Fla.)
9624,Pompeii (Extinct city),Pompeii (Extinct city)
9624,Pompeii (Extinct city),Pompeii (Extinct city)
9625,Cathedral City (Calif.),Cathedral City (Calif.)
9626,Seattle (Wash.),Seattle (Wash.)
9627,Ulster County (N.Y.),Ulster County (N.Y.)
9628,Great Britain,Great Britain
9629,Taos (N.M.),Taos (N.M.)
9630,Tennessee,Tennessee
9631,Iowa,Iowa
9632,Providence (R.I.),Providence (R.I.)
9633,Oklahoma,Oklahoma
9634,Taiwan,Taiwan
9634,Great Britain,Great Britain
9635,Louisiana,Louisiana
9636,Minnesota,Minnesota
9637,North Dakota,North Dakota
9637,West (U.S.),West (U.S.)
9637,West (U.S.),West (U.S.)
9638,Greensboro (N.C.),Greensboro (N.C.)
9639,Saudi Arabia,Saudi Arabia
9639,Saudi Arabia,Saudi Arabia
9640,Paulding County (Ga.),Paulding County (Ga.)
9640,Georgia,Georgia
9640,United States,United States
9641,Henry County (Ga.),Henry County (Ga.)
9641,Henry County (Ga.),Henry County (Ga.)
9642,Ireland,Ireland
9643,Texas,Texas
9644,Colorado,Colorado
9645,Oklahoma,Oklahoma
9646,Boston (Mass.),Boston (Mass.)
9646,France,France
9647,Comstock Lode (Nev.),Comstock Lode (Nev.)
9648,Austin (Tex.),Austin (Tex.)
9648,Austin (Tex.),Austin (Tex.)
9649,Southern States,Southern States
9650,United States,United States
9650,United States,United States
9651,Texas,Texas
9652,Rand Mining District (Calif.),Rand Mining District (Calif.)
9652,Rand Mining District (Calif.),Rand Mining District (Calif.)
9652,California,California
9652,Kern County (Calif.),Kern County (Calif.)
9653,United States,United States
9653,United States,United States
9654,Trigg County (Ky.),Trigg County (Ky.)
9654,Trigg County (Ky.),Trigg County (Ky.)
9655,"Ararat, Mount (Turkey)","Ararat, Mount (Turkey)"
9656,Oregon,Oregon
9657,Woolwich (Ont.),Woolwich (Ont.)
9658,Burkina Faso,Burkina Faso
9659,Earth (Planet),Earth (Planet)
9660,Paris (France),Paris (France)
9661,Ireland,Ireland
9662,United States,United States
9662,United States,United States
9662,United States,United States
9662,United States,United States
9663,United States,United States
9663,United States,United States
9663,United States,United States
9664,United States,United States
9664,United States,United States
9664,United States,United States
9665,United States,United States
9665,United States,United States
9666,Colorado Trail (Colo.),Colorado Trail (Colo.)
9667,Missouri,Missouri
9668,Grand Canyon (Ariz.),Grand Canyon (Ariz.)
9668,Arizona,Arizona
9669,Cambridge (England),Cambridge (England)
9670,New Castle (Pa.),New Castle (Pa.)
9671,Syracuse (N.Y.),Syracuse (N.Y.)
9672,"Appalachian Region, Southern","Appalachian Region, Southern"
9672,"Appalachian Region, Southern","Appalachian Region, Southern"
9673,United States,United States
9673,United States,United States
9674,"Dundee (Omaha, Neb.)","Dundee (Omaha, Neb.)"
9674,"Dundee (Omaha, Neb.)","Dundee (Omaha, Neb.)"
9674,Omaha (Neb.),Omaha (Neb.)
9674,Omaha (Neb.),Omaha (Neb.)
9675,Tulsa (Okla.),Tulsa (Okla.)
9676,Mattoon (Ill.),Mattoon (Ill.)
9677,Norway,Norway
9677,United States,United States
9678,Idaho,Idaho
9679,Washington (State),Washington (State)
9679,Washington (State),Washington (State)
9679,"Northwest, Pacific","Northwest, Pacific"
9679,"Northwest, Pacific","Northwest, Pacific"
9680,United States,United States
9680,Great Britain,Great Britain
9681,North Carolina,North Carolina
9681,North Carolina,North Carolina
9681,United States,United States
9682,Bethlehem,Bethlehem
9683,Florida,Florida
9683,England,England
9684,West Virginia,West Virginia
9685,Germany (East),Germany (East)
9685,Germany,Germany
9685,Hungary,Hungary
9686,Kanepi (Estonia),Kanepi (Estonia)
9687,Japan,Japan
9688,Duff (Ind.),Duff (Ind.)
9688,Duff (Ind.),Duff (Ind.)
9689,United States,United States
9690,Cape Cod (Mass.),Cape Cod (Mass.)
9691,Austin (Tex.),Austin (Tex.)
9692,Russia (Federation),Russia (Federation)
9693,United States,United States
9694,"California, Southern","California, Southern"
9695,United States,United States
9696,United States,United States
9697,Massachusetts,Massachusetts
9698,Snake River Plain (Idaho and Or.),Snake River Plain (Idaho and Or.)
9699,Lithuania,Lithuania
9700,United States,United States
9701,United States,United States
9702,United States,United States
9703,United States,United States
9703,United States,United States
9704,Polk County (Ga.),Polk County (Ga.)
9704,Polk County (Ga.),Polk County (Ga.)
9704,Polk County (Ga.),Polk County (Ga.)
9705,West (U.S.),West (U.S.)
9706,United States,United States
9707,Greene County (Pa.),Greene County (Pa.)
9708,Florida,Florida
9709,Research Triangle Park Region (N.C.),Research Triangle Park Region (N.C.)
9710,India,India
9711,Provence (France),Provence (France)
9712,Montgomery (Ala.),Montgomery (Ala.)
9712,Montgomery (Ala.),Montgomery (Ala.)
9713,Putnam County (Ga.),Putnam County (Ga.)
9714,New York (N.Y.),New York (N.Y.)
9715,Acadia National Park (Me.),Acadia National Park (Me.)
9715,Acadia National Park (Me.),Acadia National Park (Me.)
9715,Acadia National Park (Me.),Acadia National Park (Me.)
9716,Latin America,Latin America
9716,Cuba,Cuba
9717,Palm Beach (Fla.),Palm Beach (Fla.)
9718,Texas,Texas
9719,New York (State),New York (State)
9720,Miami Beach (Fla.),Miami Beach (Fla.)
9721,Savannah (Ga.),Savannah (Ga.)
9721,Savannah (Ga.),Savannah (Ga.)
9722,Etruria,Etruria
9722,Italy,Italy
9723,Louisiana,Louisiana
9724,Grand Rapids (Mich.),Grand Rapids (Mich.)
9724,Grand Rapids (Mich.),Grand Rapids (Mich.)
9724,Grand Rapids (Mich.),Grand Rapids (Mich.)
9725,California,California
9726,United States,United States
9726,United States,United States
9727,Saudi Arabia,Saudi Arabia
9727,Saudi Arabia,Saudi Arabia
9728,Maui (Hawaii),Maui (Hawaii)
9729,Great Britain,Great Britain
9730,United States,United States
9731,Germany,Germany
9732,Venezuela,Venezuela
9732,Venezuela,Venezuela
9733,United States,United States
9734,Taiwan,Taiwan
9734,Taiwan,Taiwan
9734,Taiwan,Taiwan
9735,European Union countries,European Union countries
9735,European Union countries,European Union countries
9735,Netherlands,Netherlands
9735,Denmark,Denmark
9735,Ireland,Ireland
9736,Mexico,Mexico
9736,Mexico,Mexico
9736,Mexico,Mexico
9737,Byzantine Empire,Byzantine Empire
9737,Byzantine Empire,Byzantine Empire
9738,Nigeria,Nigeria
9739,Tryon County (N.C.),Tryon County (N.C.)
9739,Lincoln County (N.C.),Lincoln County (N.C.)
9739,Rutherford County (N.C.),Rutherford County (N.C.)
9740,Germany,Germany
9741,Southern States,Southern States
9742,United States,United States
9742,India,India
9742,United States,United States
9742,India,India
9742,India,India
9742,India,India
9743,Etowah County (Ala.),Etowah County (Ala.)
9743,Alabama,Alabama
9743,United States,United States
9743,Alabama,Alabama
9743,United States,United States
9744,Scandinavia,Scandinavia
9744,Scandinavia,Scandinavia
9745,Bangladesh,Bangladesh
9746,India,India
9746,India,India
9747,Tahoe (Nev.),Tahoe (Nev.)
9748,"Africa, Sub-Saharan","Africa, Sub-Saharan"
9748,Latin America,Latin America
9748,Caribbean Area,Caribbean Area
9749,Wytopitlock Region (Me.),Wytopitlock Region (Me.)
9750,Santa Ana (Calif.),Santa ANa (Calif.)
9750,Santa ANa (Calif.),Santa ANa (Calif.)
9751,Cuba,Cuba
9751,Cuba,Cuba
9751,Cuba,Cuba
9751,Cuba,Cuba
9752,United States,United States
9753,South Carolina,South Carolina
9754,Spain,Spain
9754,Spain,Spain
9754,Spain,Spain
9755,Oconee (Ga.),Oconee (Ga.)
9755,Oconee (Ga.),Oconee (Ga.)
9756,France,France
9757,Darlington County (S.C.),Darlington County (S.C.)
9757,Florence County (S.C.),Florence County (S.C.)
9757,Lee County (S.C.),Lee County (S.C.)
9758,Timmonsville (S.C.),Timmonsville (S.C.)
9758,Florence County (S.C.),Florence County (S.C.)
9759,New England,New England
9760,Iceland,Iceland
9761,Byzantine Empire,Byzantine Empire
9762,"Va¯ra¯nasi (Uttar Pradesh, India)","Va¯ra¯nasi (Uttar Pradesh, India)"
9762,Fari¯da¯ba¯d (India),Fari¯da¯ba¯d (India)
9763,New York (State),New York (State)
9764,Scottsdale (Ariz.),Scottsdale (Ariz.)
9764,Scottsdale (Ariz.),Scottsdale (Ariz.)
9764,Scottsdale (Ariz.),Scottsdale (Ariz.)
9765,Los Angeles (Calif.),Los Angeles (Calif.)
9766,Mount Desert Island (Me.),Mount Desert Island (Me.)
9767,Andes Region,Andes Region
9767,Peru,Peru
9768,Russia,Russia
9769,Irvington (Va.),Irvington (Va.)
9769,Lancaster County (Va.),Lancaster County (Va.)
9770,United States,United States
9771,Appalachian Region,Appalachian Region
9772,London (England),London (England)
9773,Feather River Region (Calif.),Feather River Region (Calif.)
9774,"Warwick (Lancaster County, Pa. : Township)","Warwick (Lancaster County, Pa. : Township)"
9775,Johnstown (Pa.),Johnstown (Pa.)
9776,Virginia,Virginia
9777,United States,United States
9777,United States,United States
9777,United States,United States
9778,"Conemaugh (Somerset County, Pa. : Township)","Conemaugh (Somerset County, Pa. : Township)"
9779,Provincetown (Mass.),Provincetown (Mass.)
9780,Virginia,Virginia
9781,Ukraine,Ukraine
9781,Hungary,Hungary
9782,Medina County (Ohio),Medina County (Ohio)
9783,"Baumbach (Alheim, Germany)","Baumbach (Alheim, Germany)"
9783,"Braach (Rotenburg an der Fulda, Germany)","Braach (Rotenburg an der Fulda, Germany)"
9783,"Sterkelshausen (Alheim, Germany)","Sterkelshausen (Alheim, Germany)"
9784,Great Britain,Great Britain
9785,Utah,Utah
9786,Lewiston (Me.),Lewiston (Me.)
9786,Lewiston (Me.),Lewiston (Me.)
9787,North Carolina,North Carolina
9788,Wales,Wales
9789,Greshamville (Ga.),Greshamville (Ga.)
9790,Cuba,Cuba
9790,Cuba,Cuba
9791,Cuba,Cuba
9791,Cuba,Cuba
9791,Latin America,Latin America
9792,Georgia,Georgia
9793,United States,United States
9793,"Jews, American","Jews, American"
9794,Monterrey (Mexico),Monterrey (Mexico)
9795,Southern States,Southern States
9795,Southern States,Southern States
9796,Lynchburg (Va.),Lynchburg (Va.)
9796,Lynchburg (Va.),Lynchburg (Va.)
9796,Lynchburg (Va.),Lynchburg (Va.)
9797,Paris (France),Paris (France)
9798,United States,United States
9799,Iowa,Iowa
9800,California,California
9801,United States,United States
9801,United States,United States
9802,Gainesville (Ga.),Gainesville (Ga.)
9802,Gainesville (Ga.),Gainesville (Ga.)
9802,Gainesville (Ga.),Gainesville (Ga.)
9802,Hall County (Ga.),Hall County (Ga.)
9802,Hall County (Ga.),Hall County (Ga.)
9802,Hall County (Ga.),Hall County (Ga.)
9803,Las Vegas (Nev.),Las Vegas (Nev.)
9803,Las Vegas (Nev.),Las Vegas (Nev.)
9804,India,India
9804,India,India
9804,India,India
9805,Missouri River,Missouri River
9806,Pennsylvania,Pennsylvania
9807,Phoenix Region (Ariz.),Phoenix Region (Ariz.)
9808,Romania,Romania
9809,Outer space,Outer space
9810,Annapolis (Md.),Annapolis (Md.)
9811,Cape Cod (Mass.),Cape Cod (Mass.)
9812,Vermont,Vermont
9813,Latin America,Latin America
9813,Latin America,Latin America
9814,South Africa,South Africa
9815,Europe,Europe
9816,Santanoni Preserve (N.Y.),Santanoni Preserve (N.Y.)
9817,Mississippi River,Mississippi River
9818,"California, Southern","California, Southern"
9818,"California, Southern","California, Southern"
9818,"California, Southern","California, Southern"
9819,West Virginia,West Virginia
9820,Hudson River Valley (N.Y. and N.J.),Hudson River Valley (N.Y. and N.J.)
9821,Grand Canyon National Park (Ariz.),Grand Canyon National Park (Ariz.)
9821,Grand Canyon (Ariz.),Grand Canyon (Ariz.)
9822,San Juan Islands (Wash.),San Juan Islands (Wash.)
9823,Dallas (Tex.),Dallas (Tex.)
9824,Perry County (Ind.),Perry County (Ind.)
9824,Perry County (Ind.),Perry County (Ind.)
9824,Perry County (Ind.),Perry County (Ind.)
9825,Puget Sound Region (Wash.),Puget Sound Region (Wash.)
9825,Cascade Range,Cascade Range
9826,Egypt,Egypt
9827,Sun,Sun
9828,Weir Farm National Historic Site (Conn.),Weir Farm National Historic Site (Conn.)
9829,North Carolina,North Carolina
9830,Monroe County (Ohio),Monroe County (Ohio)
9831,Pesotum (Ill. : Township),Pesotum (Ill. : Township)
9831,Illinois,Illinois
9832,United States,United States
9832,United States,United States
9832,Texas,Texas
9832,New Braunfels (Tex.),New Braunfels (Tex.)
9833,Oregon,Oregon
9834,Korc?ula Island (Croatia),Korc?ula Island (Croatia)
9835,United States,United States
9836,Kansas,Kansas
9837,Massachusetts,Massachusetts
9837,Minnesota,Minnesota
9838,Chicago (Ill.),Chicago (Ill.)
9838,Chicago River (Ill.),Chicago River (Ill.)
9839,Byzantine Empire,Byzantine Empire
9840,"Hollywood (Los Angeles, Calif.)","Hollywood (Los Angeles, Calif.)"
9840,Los Angeles (Calif.),Los Angeles (Calif.)
9841,Key West (Fla.),Key West (Fla.)
9841,Key West (Fla.),Key West (Fla.)
9842,United States,United States
9843,Korea (North),Korea (North)
9844,Italy,Italy
9845,Scandinavia,Scandinavia
9846,Pennsylvania,Pennsylvania
9846,Palatinate (Germany),Palatinate (Germany)
9847,New Jersey,New Jersey
9848,Louisiana,Louisiana
9848,Louisiana,Louisiana
9849,Wickenburg Region (Ariz.),Wickenburg Region (Ariz.)
9850,Washington County (Ark.),Washington County (Ark.)
9851,United States,United States
9852,North Carolina,North Carolina
9852,Mecklenburg County (N.C.),Mecklenburg County (N.C.)
9852,Charlotte (N.C.),Charlotte (N.C.)
9853,Wyandotte County (Kan.),Wyandotte County (Kan.)
9853,Wyandotte County (Kan.),Wyandotte County (Kan.)
9853,Wyandotte County (Kan.),Wyandotte County (Kan.)
9854,Charleston (S.C.),Charleston (S.C.)
9855,Union (Me.),Union (Me.)
9855,Maine,Maine
9856,Africa,Africa
9856,Africa,Africa
9856,South Africa,South Africa
9856,South Africa,South Africa
9857,Georgia,Georgia
9858,China,China
9859,Siatista (Greece),Siatista (Greece)
9860,Israel,Israel
9860,Warsaw (Poland),Warsaw (Poland)
9861,New York (State),New York (State)
9861,New York (State),New York (State)
9862,Wisconsin,Wisconsin
9863,Pennsylvania,Pennsylvania
9864,Virginia,Virginia
9864,Maryland,Maryland
9864,New England,New England
9865,Palermo (Italy),Palermo (Italy)
9866,Suwanee (Ga.),Suwanee (Ga.)
9866,Suwanee (Ga.),Suwanee (Ga.)
9867,California,California
9868,West (U.S.),West (U.S.)
9869,Adirondack Mountains Region (N.Y.),Adirondack Mountains Region (N.Y.)
9869,Adirondack Mountains Region (N.Y.),Adirondack Mountains Region (N.Y.)
9869,Adirondack Mountains Region (N.Y.),Adirondack Mountains Region (N.Y.)
9870,United States,United States
9871,Butler County (Pa.),Butler County (Pa.)
9872,Frijoles Canyon (N.M.),Frijoles Canyon (N.M.)
9872,Frijoles Canyon (N.M.),Frijoles Canyon (N.M.)
9872,Bandelier National Monument (N.M.),Bandelier National Monument (N.M.)
9873,Lewis and Clark National Historic Trail,Lewis and Clark National Historic Trail
9873,West (U.S.),West (U.S.)
9873,West (U.S.),West (U.S.)
9874,McHenry County (Ill.),McHenry County (Ill.)
9875,Minnesota,Minnesota
9875,Minnesota,Minnesota
9875,United States,United States
9875,United States,United States
9875,Minnesota,Minnesota
9876,Southern States,Southern States
9877,New Mexico,New Mexico
9877,New Mexico,New Mexico
9877,New Mexico,New Mexico
9878,England,England
9878,England,England
9879,"Fort Harker (Kanopolis, Kan.)","Fort Harker (Kanopolis, Kan.)"
9880,Whittier (Alaska),Whittier (Alaska)
9880,Whittier (Alaska),Whittier (Alaska)
9880,Portage Valley (Alaska),Portage Valley (Alaska)
9880,Portage Valley (Alaska),Portage Valley (Alaska)
9881,Advance (N.C.),Advance (N.C.)
9881,Advance (N.C.),Advance (N.C.)
9881,Davie County (N.C.),Davie County (N.C.)
9882,Madison County (Va.),Madison County (Va.)
9883,Richland County (S.C.),Richland County (S.C.)
9883,Richland County (S.C.),Richland County (S.C.)
9883,United States,United States
9884,United States,United States
9885,Georgia,Georgia
9886,Portugal,Portugal
9886,Portugal,Portugal
9886,Portugal,Portugal
9886,Portugal,Portugal
9887,Canada,Canada
9887,Canada,Canada
9887,"Europe, Eastern","Europe, Eastern"
9887,"Europe, Eastern","Europe, Eastern"
9888,Romania,Romania
9889,Macedonia,Macedonia
9889,Macedonia,Macedonia
9890,Delaware County (Okla.),Delaware County (Okla.)
9890,Delaware County (Okla.),Delaware County (Okla.)
9890,Delaware County (Okla.),Delaware County (Okla.)
9891,France,France
9891,France,France
9891,France,France
9891,France,France
9891,France,France
9891,United States,United States
9892,Pennsylvania,Pennsylvania
9892,United States,United States
9893,Cochran (Ga.),Cochran (Ga.)
9894,India,India
9894,India,India
9894,India,India
9895,Saint Martin (West Indies),Saint Martin (West Indies)
9896,Saint Martin (West Indies),Saint Martin (West Indies)
9897,Guatemala,Guatemala
9897,Guatemala,Guatemala
9897,Guatemala,Guatemala
9898,New York (N.Y.),New York (N.Y.)
9899,Amarillo (Tex.),Amarillo (Tex.)
9899,Amarillo (Tex.),Amarillo (Tex.)
9899,Amarillo (Tex.),Amarillo (Tex.)
9900,Cape Cod (Mass.),Cape Cod (Mass.)
9900,Nantucket (Mass.),Nantucket (Mass.)
9900,Martha's Vineyard (Mass.),Martha's Vineyard (Mass.)
9901,Pocono Mountains (Pa.),Pocono Mountains (Pa.)
9901,Pocono Mountains (Pa.),Pocono Mountains (Pa.)
9901,Pennsylvania,Pennsylvania
9901,Pennsylvania,Pennsylvania
9902,New York,New York
9903,Cuba,Cuba
9904,Tennessee,Tennessee
9904,Virginia,Virginia
9905,Adirondack Mountains (N.Y.),Adirondack Mountains (N.Y.)
9906,Cumberland (Md.),Cumberland (Md.)
9906,Keyser (W. Va.),Keyser (W. Va.)
9906,Maryland,Maryland
9906,Maryland,Maryland
9906,West Virginia,West Virginia
9906,West Virginia,West Virginia
9906,United States,United States
9907,Hungary,Hungary
9908,Indianapolis (Ind.),Indianapolis (Ind.)
9909,Tennessee,Tennessee
9910,Prince Edward Island,Prince Edward Island
9910,Canada,Canada
9911,New York (N.Y.),New York (N.Y.)
9912,Inside Passage,Inside Passage
9913,Minnesota,Minnesota
9914,Trinity County (Calif.),Trinity County (Calif.)
9915,Mozambique,Mozambique
9915,Mozambique,Mozambique
9916,California,California
9916,Arizona,Arizona
9917,Northwest Coast of North America,Northwest Coast of North America
9918,Mason City (Iowa),Mason City (Iowa)
9919,Leelanau County (Mich.),Leelanau County (Mich.)
9919,Leelanau County (Mich.),Leelanau County (Mich.)
9919,United States,United States
9919,Michigan,Michigan
9919,United States,United States
9919,Michigan,Michigan
9920,West Palm Beach (Fla.),West Palm Beach (Fla.)
9921,Rome (Italy),Rome (Italy)
9921,Vatican City,Vatican City
9922,Los Angeles Region (Calif.),Los Angeles Region (Calif.)
9923,Los Angeles (Calif.),Los Angeles (Calif.)
9924,United States,United States
9924,New York (State),New York (State)
9924,United States,United States
9924,New York (State),New York (State)
9925,Savannah (Ga.),Savannah (Ga.)
9926,"Norman, Lake (N.C.)","Norman, Lake (N.C.)"
9927,Felicity (Calif.),Felicity (Calif.)
9928,Myrtle Beach (S.C.),Myrtle Beach (S.C.)
9929,Israel,Israel
9930,"Praha 13 (Prague, Czech Republic : Municipal district)","Praha 13 (Prague, Czech Republic : Municipal district)"
9930,Prague (Czech Republic),Prague (Czech Republic)
9931,Yonkers (N.Y.),Yonkers (N.Y.)
9932,United States,United States
9933,North Carolina,North Carolina
9933,Granville County (N.C.),Granville County (N.C.)
9934,Beaver County (Pa.),Beaver County (Pa.)
9934,Pennsylvania,Pennsylvania
9934,United States,United States
9935,United States,United States
9936,Chicago (Ill.),Chicago (Ill.)
9936,Chicago (Ill.),Chicago (Ill.)
9937,Latin America,Latin America
9938,Orleans Parish (La.),Orleans Parish (La.)
9939,New York (N.Y.),New York (N.Y.)
9940,United States,United States
9941,Memphis (Tenn.),Memphis (Tenn.)
9942,South Dakota,South Dakota
9943,Anchorage (Alaska),Anchorage (Alaska)
9944,Volhynia (Ukraine),Volhynia (Ukraine)
9944,Volhynia (Ukraine),Volhynia (Ukraine)
9945,Louisiana,Louisiana
9946,Angaur Island (Palau),Angaur Island (Palau)
9946,Angaur Island (Palau),Angaur Island (Palau)
9947,Prentiss County (Miss.),Prentiss County (Miss.)
9947,United States,United States
9948,Galapagos Islands,Galapagos Islands
9949,Brunswick County (Va.),Brunswick County (Va.)
9949,Brunswick County (Va.),Brunswick County (Va.)
9949,Virginia,Virginia
9949,United States,United States
9950,Philadelphia (Pa.),Philadelphia (Pa.)
9951,Ireland,Ireland
9951,Nouveau-Brunswick,Nouveau-Brunswick
9951,Irlande,Irlande
9952,Baltimore (Md.),Baltimore (Md.)
9953,Wisconsin,Wisconsin
9954,New Jersey,New Jersey
9955,Albuquerque (N.M.),Albuquerque (N.M.)
9956,Stanislaus County (Calif.),Stanislaus County (Calif.)
9956,Stanislaus County (Calif.),Stanislaus County (Calif.)
9956,Stanislaus County (Calif.),Stanislaus County (Calif.)
9957,Florida,Florida
9958,Maryland,Maryland
9959,Europe,Europe
9960,Abiquiu (N.M.),Abiquiu (N.M.)
9961,Gloucester County (Va.),Gloucester County (Va.)
9962,United States,United States
9963,New Jersey,New Jersey
9963,New York (State),New York (State)
9964,South Carolina,South Carolina
9965,Uz?h?horod (Ukraine),Uz?h?horod (Ukraine)
9966,Reading (Pa.),Reading (Pa.)
9966,Berks County (Pa.),Berks County (Pa.)
9967,Colorado,Colorado
9968,England,England
9969,United States,United States
9970,United States,United States
