recordID,subjectLocation,subjectLocationRefined
168,Merrimack River (N.H. and Mass.),Merrimack River (N.H. and Mass.)
169,Missouri,Missouri
169,Missouri,Missouri
169,Missouri,Missouri
169,United States,United States
170,"Africa, North","Africa, North"
171,Rome,Rome
172,Huntington (Conn.),Huntington (Conn.)
172,Connecticut,Connecticut
173,United States,United States
173,United States,United States
174,Earth (Planet),Earth (Planet)
175,Great Salt Lake (Utah),Great Salt Lake (Utah)
176,Transvaal (South Africa),Transvaal (South Africa)
176,Transvaal (South Africa),Transvaal (South Africa)
176,Great Britain,Great Britain
177,Iran,Iran
177,Iran,Iran
178,United States,United States
179,Prussia (Germany),Prussia (Germany)
180,Rome (Italy),Rome (Italy)
181,West (U.S.),West (U.S.)
182,Utah,Utah
183,Plymouth (Mass.),Plymouth (Mass.)
184,Germany,Germany
185,United States,United States
186,United States,United States
186,New York (State),New York (State)
187,New England,New England
188,New England,New England
189,Great Britain,Great Britain
190,Washington County (Va.),Washington County (Va.)
191,Boston (Mass.),Boston (Mass.)
192,Atlantic County (N.J.),Atlantic County (N.J.)
192,Atlantic City (N.J.),Atlantic City (N.J.)
192,Atlantic City (N.J.),Atlantic City (N.J.)
192,Atlantic County (N.J.),Atlantic County (N.J.)
193,Rome,Rome
194,China,China
194,China,China
195,Spanish Main.,Spanish Main.
195,Central America,Central America
195,Colombia,Colombia
196,United States,United States
196,Great Britain,Great Britain
197,Antarctica.,Antarctica
198,Heidelberg (Germany),Heidelberg (Germany)
199,United States,United States
199,United States,United States
200,France,France
201,Italy,Italy
202,France,France
203,France,France
203,France,France
204,India,India
205,United States,United States
206,France,France
207,Great Britain,Great Britain
208,United States,United States
209,Great Britain,Great Britain
210,Western stories.,Western stories.
210,Nebraska,Nebraska
211,Hickman County (Tenn.),Hickman County (Tenn.)
212,Great Britain,Great Britain
212,Wessex (England),Wessex (England)
213,Klondike River Valley (Yukon),Klondike River Valley (Yukon)
214,United States,United States
215,United States,United States
216,Ireland,Ireland
217,China,China
218,China,China
218,China,China
219,Iowa,Iowa
219,Iowa,Iowa
220,New York (N.Y.),New York (N.Y.)
221,United States,United States
222,France,France
223,United States,United States
223,United States,United States
224,United States,United States
224,United States,United States
225,Saint Louis (Mo.),Saint Louis (Mo.)
226,United States,United States
226,United States,United States
226,United States,United States
226,West Indies.,West Indies
227,North Carolina,North Carolina
228,Southern States,Southern States
229,United States,United States
229,United States,United States
230,United States,United States
231,Georgia,Georgia
232,United States,United States
233,Massachusetts,Massachusetts
234,New England,New England
235,Athens (Greece),Athens (Greece)
236,Samoan Islands,Samoan Islands
237,Germany,Germany
238,Montana,Montana
238,Montana,Montana
239,Exmoor (England),Exmoor (England)
240,Netherlands,Netherlands
241,Goat Island.,Goat Island.
241,Niagara Falls (N.Y. and Ont.),Niagara Falls (N.Y. and Ont.)
242,Teton Range (Wyo. and Idaho),Teton Range (Wyo. and Idaho)
242,Teton Range (Wyo. and Idaho),Teton Range (Wyo. and Idaho)
242,Wyoming.,Wyoming
242,Wyoming,Wyoming
243,United States,United States
244,Wisconsin,Wisconsin
245,Connecticut,Connecticut
245,United States,United States
246,Algeria,Algeria
247,Virginia,Virginia
248,United States,United States
249,China,China
250,Minneapolis (Minn.),Minneapolis (Minn.)
251,Klondike River Valley (Yukon),Klondike River Valley (Yukon)
251,Alaska,Alaska
251,Yukon River Valley (Yukon and Alaska),Yukon River Valley (Yukon and Alaska)
252,Switzerland,Switzerland
253,Philippines,Philippines
254,United States,United States
255,Madrid (Spain),Madrid (Spain)
256,Boston (Mass.),Boston (Mass.)
257,France,France
258,China.,China
259,Great Britain,Great Britain
260,New Zealand,New Zealand
260,New Zealand,New Zealand
261,United States,United States
261,Gettysburg National Military Park (Pa.),Gettysburg National Military Park (Pa.)
262,Russia,Russia
262,Russia,Russia
263,Kentucky,Kentucky
263,Tennessee,Tennessee
264,Hawaii,Hawaii
265,Italy,Italy
265,Sicily (Italy),Sicily (Italy)
265,Malta,Malta
266,United States,United States
267,United States,United States
267,United States,United States
268,France,France
269,United States,United States
270,Middle East,Middle East
271,Kentucky,Kentucky
272,Stratford-upon-Avon (England),Stratford-upon-Avon (England)
273,China,China
273,China,China
274,London (England),London (England)
274,Paris (France),Paris (France)
274,Berlin (Germany),Berlin (Germany)
275,West (U.S.),West (U.S.)
276,Paris (France),Paris (France)
277,Great Britain,Great Britain
278,New York (State),New York (State)
278,New York (State),New York (State)
279,United States,United States
279,Canada,Canada
280,America,America
280,America,America
281,United States,United States
282,South Shore (Mass. : Coast)),South Shore (Mass. : Coast))
282,Plymouth County (Mass.),Plymouth County (Mass.)
282,Norfolk County (Mass.),Norfolk County (Mass.)
283,England,England
284,Philippines,Philippines
285,United States,United States
285,Transvaal (South Africa),Transvaal (South Africa)
286,Netherlands,Netherlands
287,Southern States,Southern States
288,New York (State),New York (State)
289,English-speaking countries,English-speaking countries
290,Palestine,Palestine
291,Siberia (Russia),Siberia (Russia)
291,Japan.,Japan
291,China.,China
291,East Asia.,East Asia
292,Scotland,Scotland
293,Westchester County (N.Y.),Westchester County (N.Y.)
294,Georgia,Georgia
294,Georgia,Georgia
294,United States,United States
295,Netherlands,Netherlands
295,Europe,Europe
296,Baltistan (Pakistan),Baltistan (Pakistan)
296,Lada¯kh (India),Lada¯kh (India)
297,United States,United States
297,United States,United States
298,Scottish Borders (Scotland),Scottish Borders (Scotland)
298,"Eskdale, Scot.","Eskdale, Scot."
298,"Ewesdale, Scot.","Ewesdale, Scot."
298,Wauchopedale.,Wauchopedale.
298,Liddesdale.,Liddesdale.
299,England,England
300,England,England
301,England,England
302,England,England
303,England,England
304,England,England
305,Great Britain,Great Britain
306,Egypt,Egypt
306,Suez Canal (Egypt),Suez Canal (Egypt)
307,Japan,Japan
308,Bengal (India),Bengal (India)
309,Edinburgh (Scotland),Edinburgh (Scotland)
310,Japan,Japan
310,Japan,Japan
311,China,China
312,America,America
313,Turkey,Turkey
313,Syria,Syria
314,Chaco Canyon (N.M.),Chaco Canyon (N.M.)
315,United States,United States
315,Soviet Union,Soviet Union
316,Indonesia,Indonesia
316,Indonesia.,Indonesia
317,Continental Divide National Scenic Trail,Continental Divide National Scenic Trail
318,United States,United States
319,Alcatraz Island (Calif.),Alcatraz Island (Calif.)
319,Alcatraz Island (Calif.),Alcatraz Island (Calif.)
320,"Southwest, New","Southwest, New"
321,Mexican-American Border Region,Mexican-American Border Region
322,Ghana,Ghana
323,West (U.S.),West (U.S.)
324,United States,United States
325,United States,United States
326,Canada,Canada
326,Canada,Canada
326,Que´bec (Province),Que´bec (Province)
326,Canada,Canada
327,Zion National Park (Utah),Zion National Park (Utah)
327,Zion National Park (Utah),Zion National Park (Utah)
328,United States,United States
328,United States,United States
329,Sawmill River Valley (Mass.),Sawmill River Valley (Mass.)
330,Texas,Texas
331,Charleston (S.C.),Charleston (S.C.)
332,Palestine,Palestine
333,Michigan,Michigan
333,Michigan,Michigan
333,Michigan,Michigan
334,Africa,Africa
334,Africa,Africa
334,Uganda,Uganda
334,Uganda,Uganda
335,Murrells Inlet (S.C.),Murrells Inlet (S.C.)
336,United States,United States
336,Japan,Japan
337,Mexican-American Border Region,Mexican-American Border Region
337,Rio Grande (Colo.-Mexico and Tex.),Rio Grande (Colo.-Mexico and Tex.)
338,Owens Valley (Calif.),Owens Valley (Calif.)
338,Owens Valley (Calif.),Owens Valley (Calif.)
338,Owens Valley (Calif.),Owens Valley (Calif.)
339,Romania,Romania
340,Atlanta (Ga.),Atlanta (Ga.)
340,Atlanta (Ga.),Atlanta (Ga.)
340,Atlanta (Ga.),Atlanta (Ga.)
341,Arizona,Arizona
342,United States,United States
343,Idaho,Idaho
344,Idaho,Idaho
345,Washington (D.C.),Washington (D.C.)
346,Atlanta (Ga.),Atlanta (Ga.)
346,Atlanta (Ga.),Atlanta (Ga.)
347,Korea,Korea
348,France,France
348,France,France
349,France,France
350,Yellowstone National Park,Yellowstone National Park
350,Yellowstone National Park.,Yellowstone National Park
351,Texas Panhandle (Tex.),Texas Panhandle (Tex.)
352,Olympic Mountains (Wash.),Olympic Mountains (Wash.)
353,United States,United States
353,United States,United States
354,Las Vegas (Nev.),Las Vegas (Nev.)
355,United States,United States
355,Soviet Union,Soviet Union
356,Florida,Florida
356,Florida,Florida
357,United States,United States
358,Mediterranean Region,Mediterranean Region
358,Mediterranean Region,Mediterranean Region
358,Middle East,Middle East
358,Middle East,Middle East
359,New York (N.Y.),New York (N.Y.)
360,Germany (East),Germany (East)
361,Pistoia (Italy),Pistoia (Italy)
362,Latin America,Latin America
363,United States,United States
364,Israel,Israel
364,Israel,Israel
365,Alabama,Alabama
366,United States,United States
367,United States,United States
367,Massachusetts,Massachusetts
368,West (U.S.),West (U.S.)
369,Oceania,Oceania
370,United States,United States
371,United States,United States
371,Russia (Federation),Russia (Federation)
371,United States,United States
372,Tipu (Belize),Tipu (Belize)
373,United States,United States
373,United States,United States
374,California,California
375,Kentucky,Kentucky
375,"Appalachian Region, Southern","Appalachian Region, Southern"
376,Shenandoah River Valley (Va. and W. Va.),Shenandoah River Valley (Va. and W. Va.)
376,Shenandoah River Valley (Va. and W. Va.),Shenandoah River Valley (Va. and W. Va.)
376,Shenandoah River Valley (Va. and W. Va.),Shenandoah River Valley (Va. and W. Va.)
377,West (U.S.),West (U.S.)
377,West (U.S.),West (U.S.)
378,United States,United States
379,Louisiana,Louisiana
379,Louisiana,Louisiana
379,Louisiana,Louisiana
380,Greenwich (Conn.),Greenwich (Conn.)
381,New England,New England
382,New Mexico,New Mexico
383,West (U.S.),West (U.S.)
383,West (U.S.),West (U.S.)
384,New England,New England
384,New England,New England
385,Great Britain,Great Britain
386,Southern States,Southern States
386,Southern States,Southern States
387,Russia,Russia
387,Soviet Union,Soviet Union
