recordID,subjectLocation
282,Plymouth County (Mass.)
282,Norfolk County (Mass.)
283,England
284,Philippines
285,United States
285,Transvaal (South Africa)
286,Netherlands
287,Southern States
288,New York (State)
289,English-speaking countries
290,Palestine
291,Siberia (Russia)
291,Japan.
291,China.
291,East Asia.
292,Scotland
293,Westchester County (N.Y.)
294,Georgia
294,Georgia
294,United States
295,Netherlands
295,Europe
296,Baltistan (Pakistan)
296,Lada¯kh (India)
297,United States
297,United States
298,Scottish Borders (Scotland)
298,"Eskdale, Scot."
298,"Ewesdale, Scot."
298,Wauchopedale.
298,Liddesdale.
299,England
300,England
301,England
302,England
303,England
304,England
305,Great Britain
306,Egypt
306,Suez Canal (Egypt)
307,Japan
308,Bengal (India)
309,Edinburgh (Scotland)
310,Japan
310,Japan
311,China
312,America
313,Turkey
313,Syria
314,Chaco Canyon (N.M.)
315,United States
315,Soviet Union
316,Indonesia
316,Indonesia.
317,Continental Divide National Scenic Trail
318,United States
319,Alcatraz Island (Calif.)
319,Alcatraz Island (Calif.)
320,"Southwest, New"
321,Mexican-American Border Region
322,Ghana
323,West (U.S.)
324,United States
325,United States
326,Canada
326,Canada
326,Que´bec (Province)
326,Canada
327,Zion National Park (Utah)
327,Zion National Park (Utah)
328,United States
328,United States
329,Sawmill River Valley (Mass.)
330,Texas
331,Charleston (S.C.)
332,Palestine
333,Michigan
333,Michigan
333,Michigan
334,Africa
334,Africa
334,Uganda
334,Uganda
335,Murrells Inlet (S.C.)
336,United States
336,Japan
337,Mexican-American Border Region
337,Rio Grande (Colo.-Mexico and Tex.)
338,Owens Valley (Calif.)
338,Owens Valley (Calif.)
338,Owens Valley (Calif.)
339,Romania
340,Atlanta (Ga.)
340,Atlanta (Ga.)
340,Atlanta (Ga.)
341,Arizona
342,United States
343,Idaho
344,Idaho
345,Washington (D.C.)
346,Atlanta (Ga.)
346,Atlanta (Ga.)
347,Korea
348,France
348,France
349,France
350,Yellowstone National Park
350,Yellowstone National Park.
351,Texas Panhandle (Tex.)
352,Olympic Mountains (Wash.)
353,United States
353,United States
354,Las Vegas (Nev.)
355,United States
355,Soviet Union
356,Florida
356,Florida
357,United States
358,Mediterranean Region
358,Mediterranean Region
358,Middle East
358,Middle East
359,New York (N.Y.)
360,Germany (East)
361,Pistoia (Italy)
362,Latin America
363,United States
364,Israel
364,Israel
365,Alabama
366,United States
367,United States
367,Massachusetts
368,West (U.S.)
369,Oceania
370,United States
371,United States
371,Russia (Federation)
371,United States
372,Tipu (Belize)
373,United States
373,United States
374,California
375,Kentucky
375,"Appalachian Region, Southern"
376,Shenandoah River Valley (Va. and W. Va.)
376,Shenandoah River Valley (Va. and W. Va.)
376,Shenandoah River Valley (Va. and W. Va.)
377,West (U.S.)
377,West (U.S.)
378,United States
379,Louisiana
379,Louisiana
379,Louisiana
380,Greenwich (Conn.)
381,New England
382,New Mexico
383,West (U.S.)
383,West (U.S.)
384,New England
384,New England
385,Great Britain
386,Southern States
386,Southern States
387,Russia
387,Soviet Union
388,Kosovo (Republic)
389,United States
390,Australia
390,Australia.
391,Brazil
391,Brazil.
392,China
392,China.
393,Japan
393,Japan.
394,Mexico
394,Mexico.
395,Palestine
395,Megiddo (Extinct city)
396,Nevada
397,West (U.S.)
398,Nevada
399,"Huron River Watershed (Oakland County-Monroe County, Mich.)"
399,Michigan
400,"Haight-Ashbury (San Francisco, Calif.)"
401,Canada
401,Canada.
402,Solar system
402,Solar system.
403,"Nogales (Nogales, Mexico)"
403,Nogales (Ariz.)
403,Mexican-American Border Region
404,Brazil
405,Highlands (Scotland)
405,Scotland
406,Indonesia
406,Indonesia.
407,France
407,Paris (France)
408,Nevada
409,"Europe, Eastern"
409,Former Soviet republics
410,Florida
411,United States
412,Miami (Fla.)
413,United States
414,United States
414,United States
415,Latin America
415,Caribbean Area
415,Latin America
415,Caribbean Area
416,United States
416,West (U.S.)
416,United States
416,West (U.S.)
417,United States
417,Southern States
418,Los Angeles (Calif.)
418,Los Angeles (Calif.)
418,Los Angeles (Calif.)
419,Egypt
419,Egypt
420,"California, Northern"
421,United States
422,California
422,California
422,California
422,California
423,United States
423,United States
424,West (U.S.)
424,West (U.S.)
425,Oregon National Historic Trail
425,Oregon National Historic Trail.
426,Massachusetts
426,Massachusetts
427,Santa Fe National Historic Trail
427,Santa Fe National Historic Trail.
427,"Southwest, New"
428,United States
428,Great Britain
429,Sleeping Bear Dunes National Lakeshore (Mich.)
429,United States
430,United States
431,United States
431,United States
431,United States
431,United States
432,United States
432,United States
432,United States
433,United States
433,America
434,Saxony (Germany)
434,Saxony (Germany)
434,Saxony (Germany)
435,Sun
435,Sun.
436,Venus (Planet)
436,Venus (Planet)
437,United States
437,United States
438,Crete (Greece)
439,United States
440,Europe
440,Europe
441,Montgomery (Ala.)
441,Montgomery (Ala.)
442,United States
442,United States
443,China
443,China
443,China
443,China
444,Scotland
444,Scotland.
445,Greece
445,Greece
446,Great Lakes Region (North America)
446,Great Lakes Region (North America)
447,Belfast (Northern (Ireland)
447,Belfast (Northern (Ireland)
447,Belfast (Northern (Ireland)
447,Ireland
448,United States
449,France
449,France
450,"Europe, Eastern"
450,"Europe, Central"
451,United States
452,East Asia
453,United States
454,United States
454,United States
455,China
456,United States
456,United States
457,Northern Ireland
458,Niagara Frontier (N.Y.)
458,Fort Erie (Ont.)
458,United States
459,San Diego (Calif.)
460,Russia
461,"Europe, Southern"
462,Greenbelt (Md.)
463,Santa Fe (N.M.)
464,Greece
465,South Carolina
465,Confederate States of America
466,United States
466,United States
467,Saint Marys River Valley (Mich. and Ont.)
467,Saint Marys River Valley (Mich. and Ont.)
468,United States
468,United States
469,Great Britain
469,Great Britain
469,Great Britain
470,Great Britain
470,United States
470,Great Britain
471,Jordan
472,America
472,United States
473,Granado Cave (Tex.)
473,Guadalupe Mountains (N.M. and Tex.)
474,Columbus (Ohio)
474,Ohio
475,Ecuador
475,Ecuador
475,Ecuador
476,Boston (Mass.)
477,North America
478,Naeaegama (Sri Lanka)
478,Naeaegama (Sri Lanka)
478,Naeaegama (Sri Lanka)
479,Africa
479,Africa
480,France
481,South Carolina
482,Southern States
482,North Carolina
483,La Chamba (Colombia)
