year,recordCount
1918,1624
1919,1831
1920,1943
1921,1848
1922,2022
1923,2089
1924,2252
1925,2552
1926,2565
1927,2684
1928,3141
1929,3086
1930,3400
1931,3280
1932,3362
1933,3189
1934,3562
1935,3863
1936,4100
1937,4246
1938,4365
1939,4410
1940,4118
1941,3982
1942,3899
1943,3526
1944,3141
1945,3222
1946,3678
1947,3594
1948,3648
1949,3728
1950,3899
1951,3783
1952,3645
1953,3988
1954,3928
1955,4142
1956,4408
1957,4477
1958,4776
1959,5171
1960,5859
1961,6160
1962,6766
1963,7308
1964,8355
1965,9147
1966,11367
1967,14087
1968,16157
1969,16542
1970,17769
1971,17870
1972,18439
1973,19839
1974,21582
1975,24000
1976,26392
1977,25713
1978,25963
1979,25501
1980,25327
1981,25448
1982,27876
1983,30824
1984,32377
1985,32874
1986,32187
1987,33836
1988,35345
1989,35840
1990,36878
1991,37810
1992,40252
1993,41848
1994,42022
1995,41036
1996,41369
1997,42131
1998,44505
1999,44344
2000,46940
2001,45388
2002,46464
2003,46846
2004,47359
2005,47897
2006,46751
2007,46924
2008,46994
2009,46157
2010,43780
2011,35924
2012,19221
2013,4055
2014,241
2015,18
2017,1
2018,1
2019,1
2020,3
2023,2
2024,3
2025,4
2027,1
2028,4
2029,2
2030,2
2031,8
2032,1
2033,3
2034,4
2035,10
2036,8
2037,21
2038,11
2039,20
2040,7
2041,15
2042,10
2043,12
2044,13
2045,22
2046,11
2047,15
2048,29
2049,16
2050,20
2051,15
2052,29
2053,29
2054,27
2055,39
2056,32
2057,49
2058,52
2059,46
2060,49
2061,34
2062,31
2063,62
2064,53
2065,46
2066,38
2067,31
2068,12
2069,2
2461,1
2463,2
2465,1
2467,1
2470,3
2471,3
2472,1
2473,1
2476,1
2477,1
2478,1
2479,1
2481,1
2482,3
2483,1
2484,1
2485,3
2487,2
2489,1
2490,2
2491,1
2492,4
2493,4
2494,2
2495,4
2496,2
2499,2
2500,9
2501,7
2502,5
2503,9
2504,9
2505,17
2506,10
2507,14
2508,15
2509,18
2510,19
2511,13
2512,15
2513,14
2514,19
2515,21
2516,20
2517,22
2518,22
2519,19
2520,26
2521,38
2522,65
2523,87
2524,85
2525,41
2526,47
2527,37
2528,64
2529,47
2530,62
2531,109
2532,86
2533,98
2534,113
2535,114
2536,131
2537,125
2538,102
2539,151
2540,170
2541,171
2542,188
2543,197
2544,158
2545,115
2546,110
2547,108
2548,131
2549,193
2550,210
2551,213
2552,225
2553,170
2554,135
2555,38
2556,7
2568,1
2581,1
2585,2
2597,1
2601,2
2603,1
2642,1
2699,1
3745,1
4003,1
4214,1
4279,1
4281,1
4282,3
4283,5
4285,2
4286,1
4287,4
4288,1
4289,1
4290,3
4291,2
4292,2
4293,3
4294,2
4306,1
4312,2
4317,1
4318,1
4319,1
4320,5
4321,3
4323,1
4324,1
4325,1
4339,2
4800,1
5636,1
5641,1
5643,2
5647,1
5652,2
5678,1
5689,1
5700,1
5703,2
5707,1
5710,1
5712,1
5734,1
5737,1
5739,1
5740,1
5741,3
5742,3
5743,4
5744,5
5745,2
5746,2
5747,6
5748,8
5749,5
5750,5
5751,1
5752,12
5753,6
5754,7
5755,13
5756,8
5757,3
5758,13
5759,4
5760,7
5761,4
5762,1
5763,2
5764,1
5765,5
5766,6
5767,4
5768,7
5769,6
5770,2
5771,1
5772,1
5794,1
5883,2
6674,1
7191,1
9159,1
9300,1
(blank),0
Grand Total,1863994
